Street Address,City,State,Zipcode,Latitude,Longitude,Property Type,Tax Assessment Year,Tax Assessment Amt,Year Built,Lot Size (Sq.Ft.),Finished (Sq.Ft.),Bathroom,Bedrooms,Total Rooms,Last Sold Date,Months Since Last Sold,Last Sold Price,Zestimate Amount,Zestimate 1-Week Change,Zestimate Minimum,Zestimate Maximum,Zestimate $/Sq.Ft.,RentZestimate Amount,RentZestimate 1-Week Change,RentZestimate Minimum,RentZestimate Maximum,RentZestimate $/Sq.Ft.,Zestimate / Rent Value,Neighborhood,ZPID,Missing Cnt
405 Fernhill Ave,Pittsburgh,PA,15226,40.401167,-80.01421,SingleFamily,2015,101000,1940,6000,2063,2.5,4,7,5/5/05,122,87500,135550,2998,123351,146394,65.71,1209,24,762,1814,0.59,112.12,Brookline,11562146,0
121 S Lexington Ave,Pittsburgh,PA,15208,40.447842,-79.899453,SingleFamily,2015,405900,1915,11565,2906,3.5,5,10,7/15/08,84,410000,537286,-2540,483557,585642,184.89,3296,36,2538,4054,1.13,163.01,Point Breeze,11287805,0
5407 Friendship Ave,Pittsburgh,PA,15232,40.462076,-79.936933,SingleFamily,2015,199000,1904,3999,2975,3,6,13,6/23/09,73,185000,340625,8205,299750,371281,114.5,1839,-49,1306,3310,0.62,185.22,Bloomfield,11524485,0
630 Hastings St,Pittsburgh,PA,15206,40.447627,-79.916593,Condominium,2015,173400,1900,2304,1594,1.5,3,6,6/15/10,61,187500,266199,-13786,236917,300805,167,2087,71,1670,2650,1.31,127.55,Point Breeze,11629596,0
350 Spahr St,Pittsburgh,PA,15232,40.455761,-79.927896,SingleFamily,2015,200000,1900,2492,1753,1.5,3,6,6/20/02,157,165000,323752,1571,304327,346415,184.68,2168,32,1561,2775,1.24,149.33,Shadyside,11625070,0
822 Jancey St,Pittsburgh,PA,15206,40.474361,-79.931091,SingleFamily,2015,87200,1919,4004,1643,1,3,6,6/16/14,13,50000,129446,13728,117796,135918,78.79,1158,27,926,1540,0.7,111.78,Morningside,11620606,0
1413 Morningside Ave,Pittsburgh,PA,15206,40.481762,-79.930285,SingleFamily,2015,175000,1925,3300,1600,2,4,7,9/10/12,34,175000,177549,14850,159794,189977,110.97,1502,125,1187,1878,0.94,118.21,Morningside,11619447,0
5222 Dresden Way,Pittsburgh,PA,15201,40.480632,-79.953487,SingleFamily,2015,44400,1900,1120,1172,1,2,4,,,,72710,-5353,55987,87979,62.04,1076,21,721,1528,0.92,67.57,Upper Lawrenceville,11612514,2
1007-1009 Tweed St,Sheraden,PA,15204,40.4562,-80.0624,MultiFamily2To4,,,1920,38,,1,2,,,,,75586,-6637,61981,90703,,786,,652,1187,,96.17,Sheraden,2102118480,8
2147 Fairland St,Pittsburgh,PA,15210,40.389872,-79.994414,SingleFamily,2015,72200,1926,3750,1144,2,3,6,6/2/09,73,82900,96768,8348,89027,102574,84.59,1059,27,752,1271,0.93,91.38,Overbrook,11647431,0
5825 5th Ave APT 315,Pittsburgh,PA,15232,40.451541,-79.926275,Condominium,2015,167000,1968,1270,1270,2,2,5,10/16/12,33,167000,215872,4485,205078,226666,169.98,1722,75,1360,2359,1.36,125.36,Shadyside,11628947,0
647 Rising Main Ave,Pittsburgh,PA,15212,40.46433,-80.001017,SingleFamily,2015,50000,1913,2400,1796,2,3,5,11/9/87,332,16000,56735,-6888,52196,64111,31.59,989,-10,781,1484,0.55,57.37,Fine View,11506252,0
5927 Howe St APT B3,Pittsburgh,PA,15232,40.453201,-79.925623,Condominium,2015,117800,1898,725,722,1,1,2,4/28/04,135,34000,151218,-43,140633,163315,209.44,1229,10,873,1635,1.7,123.04,Shadyside,11625410,0
2700 -2702 Norwood Ave # 2702,Pittsburgh,PA,15214,40.472541,-80.013275,SingleFamily,,,1920,2613,1944,2,4,,,,,,,,,,,,,,,,Perry South,2102124131,16
